"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"Core_CAF_interaction","REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS",32,0.351564642327342,0.11150511338232,0.240059528945022,0.287938132548497,"positive",0.126108058630138,"GATAD2A;BCL7C;MTA2;HDAC1;ACTB;RBBP7;MTA1;SMARCB1;HDAC2;SMARCA4",0.224308180024967
"Core_CAF_interaction","REACTOME_AMINO_ACIDS_REGULATE_MTORC1",38,0.344668102416168,0.11140964355109,0.233258458865078,0.317646936799973,"positive",0.126685038643757,"LAMTOR2;SEH1L;SH3BP4;ATP6V1H;ATP6V1G1;LAMTOR3;LAMTOR5;RHEB;ATP6V1C1;ATP6V1D",0.225068100569228
"Core_CAF_interaction","REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY",16,0.425029561405175,0.111720700066069,0.313308861339105,0.49355548800846,"positive",0.127422483906627,"ATP6V1H;ATP6V1G1;ATP6V1C1;ATP6V1D;ATP6AP2;ATP6V0D1;ATP6V1E1;ATP6V0E1;ASAH1;ATP6V1B2",0.226110972032656
"Core_CAF_interaction","HALLMARK_SPERMATOGENESIS",121,0.0696153804339275,0.112545211482736,-0.0429298310488083,-0.0602130324802672,"negative",0.127877748175479,"ACTL7B;IDE;SLC12A2;PDHA2;IFT88;ARL4A;AGFG1;ACE;SPATA6;NAA11",0.22665124470253
"Core_CAF_interaction","REACTOME_NFE2L2_REGULATING_TUMORIGENIC_GENES",11,0.533726421656282,0.111750684611621,0.421975737044661,0.543935425442236,"positive",0.128128621208293,"PDGFA;MAFK;AREG;EP300;BCL2L1;NFE2L2;EGF;SP1;CREBBP;NOTCH1",0.226828407156731
"Core_CAF_interaction","REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",94,0.235230563564131,0.111183748626432,0.124046814937699,0.446525055272661,"positive",0.128609354607513,"DUSP6;CHUK;PPP2CB;TRAF6;LRRC14;MAP2K1;NFKBIB;PPP2R1A;ELK1;PPP2R5D",0.227411599970697
"Core_CAF_interaction","REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING",19,-0.158622672047579,0.112541787830133,-0.271164459877712,-0.348281456921737,"negative",0.128780389887843,"IL24;PTPN11;SOCS3;JAK1;IL20RA;IL22RA1;IL22;IL26;STAT3;STAT5B",0.227446446535169
"Core_CAF_interaction","REACTOME_LAGGING_STRAND_SYNTHESIS",20,-0.0588593934210305,0.11240229744885,-0.17126169086988,-0.130731582158406,"negative",0.128933253873201,"POLD4;FEN1;POLA1;PCNA;DNA2;POLD2;PRIM2;POLD3;RFC3;RPA3",0.22744915560026
"Core_CAF_interaction","REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",12,0.498052261755808,0.11175117896655,0.386301082789257,0.386885754940972,"positive",0.129539423515046,"PTPN11;CBFB;SRC;CDK6;CCND3;CCND2;AGO1;TNRC6B;CCND1;AGO4",0.228060686494112
"Core_CAF_interaction","REACTOME_BIOLOGICAL_OXIDATIONS",164,0.047513857596582,0.112993036669411,-0.0654791790728293,0.0502908781868709,"negative",0.129830046357238,"PAPSS2;HSP90AB1;NAT2;GSTO1;OPLAH;SMOX;AHCY;CYB5B;AKR7A2;ALDH1B1",0.228060686494112
