"model","gene_set","n_present","mean_z_in_set","mean_z_background","delta_mean_z","median_z_in_set","direction","p.value","leading_genes","FDR"
"TAC_high_adjusted_for_CAF","REACTOME_COMPLEX_IV_ASSEMBLY",27,1.60741292569557,0.561099972836823,1.04631295285875,1.6338830493967,"positive",0.000634782067425625,"COX4I1;COX7A2L;COX8A;COX6A1;COX5B;COX6B1;COX7B;COX5A;COX6C;TACO1",0.00234838094894899
"TAC_high_adjusted_for_CAF","REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS",68,1.17558584906653,0.560000672166221,0.61558517690031,1.45241121065902,"positive",0.000639334300385469,"RAB6B;GDI1;YWHAE;RAB21;RAB14;RAB7A;RAB38;DENND4A;RAB35;GAPVD1",0.00235941061223335
"TAC_high_adjusted_for_CAF","REACTOME_HATS_ACETYLATE_HISTONES",67,1.17923283464606,0.560030822181903,0.619202012464155,1.48718062333133,"positive",0.000642761891382417,"HAT1;BRD1;ACTL6A;YEATS2;TAF5L;RUVBL2;ELP5;RBBP7;ENY2;YEATS4",0.00236624598249115
"TAC_high_adjusted_for_CAF","REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE",28,1.50387463585484,0.561249969530693,0.942624666324149,1.73598849010259,"positive",0.000650812039270719,"DVL3;GSK3B;CSNK1A1;CSNK1G2;DVL2;PPP2CB;PPP2R5A;PPP2CA;PPP2R5C;PPP2R1A",0.00239002367477902
"TAC_high_adjusted_for_CAF","REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS",37,1.37880212944438,0.560937570660098,0.817864558784286,1.3128543456463,"positive",0.000667113890224988,"NUP50;NUP205;PIAS4;NUP37;POM121C;SUMO1;NUP160;SEH1L;NUP98;NUP133",0.00244391478809252
"TAC_high_adjusted_for_CAF","REACTOME_INTERLEUKIN_18_SIGNALING",8,-1.39463456525872,0.564648010828413,-1.95928257608713,-1.42000917528304,"negative",0.000670039862978616,"IL4;IL37;IL13;IL18;IL18R1;IL18RAP;ALOX5;IL18BP",0.00244866149438901
"TAC_high_adjusted_for_CAF","REACTOME_DEADENYLATION_OF_MRNA",16,1.83955750338873,0.561730442687873,1.27782706070086,1.66873151971948,"positive",0.000681219587087838,"EIF4A3;EIF4G1;CNOT4;PABPC1;PAIP1;EIF4B;CNOT2;CNOT8;CNOT9;CNOT7",0.0024834752907911
"TAC_high_adjusted_for_CAF","REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION",16,1.86231325868536,0.56170099492948,1.30061226375588,1.61220758773428,"positive",0.000697284550638016,"UBC;SKP1;CUL1;IKBKG;MAP2K4;MAP2K1;RPS27A;CHUK;IKBKB;BTRC",0.00253174308290497
"TAC_high_adjusted_for_CAF","REACTOME_AGGREPHAGY",36,1.49517273606678,0.560664443855205,0.934508292211579,1.5231464834815,"positive",0.000697830650015085,"HSP90AA1;DYNC1I2;UBC;HSF1;DYNC1H1;TUBB4B;UBE2N;TUBB3;DYNC1I1;TUBA1C",0.00253174308290497
"TAC_high_adjusted_for_CAF","REACTOME_OLFACTORY_SIGNALING_PATHWAY",49,-0.0541062612234189,0.565835643520155,-0.619941904743574,-0.385475491650294,"negative",0.000725997260232773,"ADCY3;LHX2;OR7C1;OR7A5;GNG13;LDB1;GNB1;OR52A1;OR1F1;CNGB1",0.00262758526474608
