"signature","sample","condition","compartment","n_cells","weighted_z","abs_weight","signature_score","n_genes_present"
"Core_CAF_interaction_positive_top200","P4T","Tumor","Myeloid",414,-80.1871709359123,466.563530148686,-0.171867635925933,180
"Core_CAF_interaction_positive_top200","P4T","Tumor","Tcell",873,-160.540635716209,466.563530148686,-0.344091694575972,180
"Core_CAF_interaction_positive_top200","P52T","Tumor","Epithelial",884,58.114784010124,502.278013993144,0.11570242453598,194
"Core_CAF_interaction_positive_top200","P52T","Tumor","Fibroblast",193,246.738276460392,502.278013993144,0.491238456763827,194
"Core_CAF_interaction_positive_top200","P52T","Tumor","Myeloid",370,-199.101983226209,466.563530148686,-0.426741419679241,180
"Core_CAF_interaction_positive_top200","P52T","Tumor","Tcell",1061,-92.2953562411723,466.563530148686,-0.197819482829615,180
"Core_CAF_interaction_positive_top200","P54T","Tumor","Epithelial",1200,116.012254892626,502.278013993144,0.23097219400531,194
"Core_CAF_interaction_positive_top200","P54T","Tumor","Fibroblast",61,147.492450524786,502.278013993144,0.293647036931223,194
"Core_CAF_interaction_positive_top200","P54T","Tumor","Myeloid",326,-186.547852804386,466.563530148686,-0.399833764857138,180
"Core_CAF_interaction_positive_top200","P54T","Tumor","Tcell",1083,-127.670543601798,466.563530148686,-0.27364021264395,180
"Core_CAF_interaction_positive_top200","P56T","Tumor","Epithelial",41,356.592560018886,502.278013993144,0.70995056539296,194
"Core_CAF_interaction_positive_top200","P56T","Tumor","Fibroblast",24,231.758312519742,502.278013993144,0.46141440808298,194
"Core_CAF_interaction_positive_top200","P56T","Tumor","Myeloid",132,-112.065409517193,466.563530148686,-0.240193247597985,180
"Core_CAF_interaction_positive_top200","P56T","Tumor","Tcell",199,-40.5011535820818,466.563530148686,-0.0868073712687634,180
"Core_CAF_interaction_positive_top200","P57T","Tumor","Epithelial",446,55.6752360403591,502.278013993144,0.110845457076126,194
"Core_CAF_interaction_positive_top200","P57T","Tumor","Fibroblast",562,90.2514020417152,502.278013993144,0.17968415803075,194
"Core_CAF_interaction_positive_top200","P57T","Tumor","Myeloid",106,-75.1798958884983,466.563530148686,-0.161135388924505,180
"Core_CAF_interaction_positive_top200","P57T","Tumor","Tcell",565,-135.425515170463,466.563530148686,-0.290261682320744,180
"Core_CAF_interaction_positive_top200","P5T","Tumor","Epithelial",1536,102.293754717463,502.278013993144,0.203659630458878,194
"Core_CAF_interaction_positive_top200","P5T","Tumor","Fibroblast",733,183.674780936261,502.278013993144,0.365683497623227,194
"Core_CAF_interaction_positive_top200","P5T","Tumor","Myeloid",487,-159.06379209637,466.563530148686,-0.340926330109168,180
"Core_CAF_interaction_positive_top200","P5T","Tumor","Tcell",1588,-112.938860691282,466.563530148686,-0.242065342431052,180
"Core_CAF_interaction_positive_top200","P61T","Tumor","Epithelial",303,-22.163816559196,502.278013993144,-0.0441265911342449,194
