signature,model,rank,gene,weight,meta_p,meta_FDR
TAC_high_positive_top200,TAC_high_vs_other,165,PDGFC,6.96100650310346,3.37850175694579e-12,2.53490010612054e-10
TAC_high_positive_top200,TAC_high_vs_other,166,WNT2,6.94832157574413,3.6965763197849e-12,2.74210156812951e-10
TAC_high_positive_top200,TAC_high_vs_other,167,USB1,6.94823070194664,3.69895768883384e-12,2.74210156812951e-10
TAC_high_positive_top200,TAC_high_vs_other,168,APBA2,6.94690699436627,3.73381675796713e-12,2.75146734902578e-10
TAC_high_positive_top200,TAC_high_vs_other,169,FOXF2,6.94333088611392,3.82960994004499e-12,2.79205119769524e-10
TAC_high_positive_top200,TAC_high_vs_other,170,SNAI2,6.94316925521066,3.83399599037311e-12,2.79205119769524e-10
TAC_high_positive_top200,TAC_high_vs_other,171,PTDSS1,6.91654906487379,4.62778184672677e-12,3.35040580482324e-10
TAC_high_positive_top200,TAC_high_vs_other,172,SLC7A8,6.90192675789427,5.13018861201984e-12,3.69254273353521e-10
TAC_high_positive_top200,TAC_high_vs_other,173,FST,6.89147438370143,5.52170661112978e-12,3.95137155177958e-10
TAC_high_positive_top200,TAC_high_vs_other,174,PRKD1,6.87880659053766,6.03560371643358e-12,4.29429735686481e-10
TAC_high_positive_top200,TAC_high_vs_other,175,ADGRA2,6.85601066756492,7.08100918502339e-12,5.00930821203369e-10
TAC_high_positive_top200,TAC_high_vs_other,176,OLFML3,6.85080112473145,7.34375515196236e-12,5.1656641353008e-10
TAC_high_positive_top200,TAC_high_vs_other,177,TUBA1A,6.84911220624275,7.43096963772298e-12,5.19748045847517e-10
TAC_high_positive_top200,TAC_high_vs_other,178,THBS2,6.83355438303928,8.2836072735048e-12,5.7612953958421e-10
