"sample_label","stage","feature","value","source_type","rank"
"NE 7","NE","macrophages_m2",0.0299630930890431,"DSP macrophage subtype",0
"NE 8","NE","macrophages_m2",0,"DSP macrophage subtype",0
"NE 9","NE","macrophages_m2",0,"DSP macrophage subtype",0
"NE 10","NE","macrophages_m2",0.071165944662378,"DSP macrophage subtype",0
"NE 11","NE","macrophages_m2",0,"DSP macrophage subtype",0
"LGIN 1","LGIN","macrophages_m2",0,"DSP macrophage subtype",1
"LGIN 2","LGIN","macrophages_m2",0,"DSP macrophage subtype",1
"LGIN 3","LGIN","macrophages_m2",0.023888978156299,"DSP macrophage subtype",1
"LGIN 4","LGIN","macrophages_m2",0.108901492720943,"DSP macrophage subtype",1
"LGIN 5","LGIN","macrophages_m2",0.051398452396159,"DSP macrophage subtype",1
"LGIN 6","LGIN","macrophages_m2",0.0838054631400784,"DSP macrophage subtype",1
"LGIN 7","LGIN","macrophages_m2",0.0347138865482076,"DSP macrophage subtype",1
"LGIN 8","LGIN","macrophages_m2",0.0905225033783271,"DSP macrophage subtype",1
"LGIN 9","LGIN","macrophages_m2",0.0685024357653113,"DSP macrophage subtype",1
"LGIN 10","LGIN","macrophages_m2",0.00806130238543818,"DSP macrophage subtype",1
"LGIN 11","LGIN","macrophages_m2",0.0518967547328072,"DSP macrophage subtype",1
"LGIN 12","LGIN","macrophages_m2",0.0632113365339227,"DSP macrophage subtype",1
"HGIN 1","HGIN","macrophages_m2",0.0691166164001681,"DSP macrophage subtype",2
"HGIN 2","HGIN","macrophages_m2",0.0574786271109978,"DSP macrophage subtype",2
"HGIN 3","HGIN","macrophages_m2",0,"DSP macrophage subtype",2
"HGIN 4","HGIN","macrophages_m2",0.0364781101927177,"DSP macrophage subtype",2
"HGIN 5","HGIN","macrophages_m2",0.0617657284253549,"DSP macrophage subtype",2
"HGIN 6","HGIN","macrophages_m2",0.112966866590229,"DSP macrophage subtype",2
"HGIN 7","HGIN","macrophages_m2",0.111375879941451,"DSP macrophage subtype",2
"HGIN 8","HGIN","macrophages_m2",0.0878729464206156,"DSP macrophage subtype",2
"HGIN 9","HGIN","macrophages_m2",0.0667127822115125,"DSP macrophage subtype",2
"HGIN 10","HGIN","macrophages_m2",0.207735691716105,"DSP macrophage subtype",2
"HGIN 11","HGIN","macrophages_m2",0.0764783731938008,"DSP macrophage subtype",2
"HGIN 12","HGIN","macrophages_m2",0.0568607372616553,"DSP macrophage subtype",2
"ESCC1","ESCC","macrophages_m2",0.0813080645348362,"DSP macrophage subtype",3
"ESCC2","ESCC","macrophages_m2",0.0224353568366674,"DSP macrophage subtype",3
"ESCC3","ESCC","macrophages_m2",0.065623656818831,"DSP macrophage subtype",3
"ESCC4","ESCC","macrophages_m2",0,"DSP macrophage subtype",3
"ESCC5","ESCC","macrophages_m2",0,"DSP macrophage subtype",3
"ESCC6","ESCC","macrophages_m2",0.00350029736625538,"DSP macrophage subtype",3
"ESCC7","ESCC","macrophages_m2",0.0842832836530724,"DSP macrophage subtype",3
"NE","NE","macrophages_m2",0.0364634411712129,"DSP macrophage subtype",0
"LGIN","LGIN","macrophages_m2",0.0487418838131245,"DSP macrophage subtype",1
"HGIN","HGIN","macrophages_m2",0.0787368632887173,"DSP macrophage subtype",2
"ESCC","ESCC","macrophages_m2",0.0367358084585232,"DSP macrophage subtype",3
"sample 1","NE","alpha_SMA_fibroblast_IF",13.372,"IF quantification",0
"sample 1","LGIN","alpha_SMA_fibroblast_IF",18.708,"IF quantification",1
"sample 1","HGIN","alpha_SMA_fibroblast_IF",30.247,"IF quantification",2
"sample 1","ESCC","alpha_SMA_fibroblast_IF",40.475,"IF quantification",3
"sample 1","NE","CD68_macrophage_IF",94.988,"IF quantification",0
"sample 1","LGIN","CD68_macrophage_IF",68.452,"IF quantification",1
"sample 1","HGIN","CD68_macrophage_IF",82.2936666666667,"IF quantification",2
"sample 1","ESCC","CD68_macrophage_IF",156.19,"IF quantification",3
"sample 2","NE","alpha_SMA_fibroblast_IF",11.8996666666667,"IF quantification",0
"sample 2","LGIN","alpha_SMA_fibroblast_IF",17.4386666666667,"IF quantification",1
"sample 2","HGIN","alpha_SMA_fibroblast_IF",22.2276666666667,"IF quantification",2
"sample 2","ESCC","alpha_SMA_fibroblast_IF",46.169,"IF quantification",3
"sample 2","NE","CD68_macrophage_IF",32.2746666666667,"IF quantification",0
"sample 2","LGIN","CD68_macrophage_IF",62.2933333333333,"IF quantification",1
"sample 2","HGIN","CD68_macrophage_IF",67.265,"IF quantification",2
"sample 2","ESCC","CD68_macrophage_IF",113.877,"IF quantification",3
"sample 3","NE","alpha_SMA_fibroblast_IF",11.3575,"IF quantification",0
"sample 3","LGIN","alpha_SMA_fibroblast_IF",17.1843333333333,"IF quantification",1
"sample 3","HGIN","alpha_SMA_fibroblast_IF",25.718,"IF quantification",2
"sample 3","ESCC","alpha_SMA_fibroblast_IF",25.642,"IF quantification",3
"sample 3","NE","CD68_macrophage_IF",57.33,"IF quantification",0
"sample 3","LGIN","CD68_macrophage_IF",50.466,"IF quantification",1
"sample 3","HGIN","CD68_macrophage_IF",168.366666666667,"IF quantification",2
