category,database,rank,id,title,journal,pubdate,doi,pmcid,url
pmc_fulltext_ris1_guarded_escc_caf,pmc,6,3442287,"17th Congress of the European Hematology Association, Amsterdam, The Netherlands, June 14–17, 2012.",Haematologica,2012 Jul,,PMC3442287,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3442287/
pmc_fulltext_alias_pan_cancer_signature,pmc,1,9395270,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,Cancer gene therapy,2022 Aug,10.1038/s41417-021-00414-5,PMC9395270,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9395270/
pmc_fulltext_alias_pan_cancer_signature,pmc,2,4524016,Overexpression of TMEM158 contributes to ovarian carcinogenesis.,Journal of experimental & clinical cancer research : CR,2015 Aug 4,10.1186/s13046-015-0193-y,PMC4524016,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4524016/
pmc_fulltext_alias_pan_cancer_signature,pmc,3,7436114,MicroRNA-548ac induces apoptosis in laryngeal squamous cell carcinoma cells by targeting transmembrane protein 158.,Oncology letters,2020 Oct,10.3892/ol.2020.11930,PMC7436114,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7436114/
pmc_fulltext_alias_pan_cancer_signature,pmc,4,9174849,TMEM158 Regulates the Canonical and Non-Canonical Pathways of TGF-β to Mediate EMT in Triple-Negative Breast Cancer.,Journal of Cancer,2022,10.7150/jca.65822,PMC9174849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9174849/
pmc_fulltext_alias_pan_cancer_signature,pmc,5,12841848,A Decade-Old Atlas of TMEM (Transmembrane) Protein Family in Lung Cancer: Lessons Learnt and Future Directions.,International journal of molecular sciences,2026 Jan 22,10.3390/ijms27021120,PMC12841848,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12841848/
pmc_fulltext_alias_pan_cancer_signature,pmc,6,10627164,"The transmembrane proteins (TMEM) and their role in cell proliferation, migration, invasion, and epithelial-mesenchymal transition in cancer.",Frontiers in oncology,2023,10.3389/fonc.2023.1244740,PMC10627164,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10627164/
pmc_fulltext_alias_pan_cancer_signature,pmc,7,11655476,Pan-cancer single cell and spatial transcriptomics analysis deciphers the molecular landscapes of senescence related cancer-associated fibroblasts and reveals its predictive value in neuroblastoma via integrated multi-omics analysis and machine learning.,Frontiers in immunology,2024,10.3389/fimmu.2024.1506256,PMC11655476,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11655476/
pmc_fulltext_alias_pan_cancer_signature,pmc,8,10047383,A Systematic Review of Progress toward Unlocking the Power of Epigenetics in NSCLC: Latest Updates and Perspectives.,Cells,2023 Mar 15,10.3390/cells12060905,PMC10047383,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10047383/
pmc_fulltext_alias_pan_cancer_signature,pmc,9,13053443,Integrative multimodal transcriptomics identifies a cancer-associated fibroblast membrane signature for predicting prognosis and therapeutic response in pancreatic ductal adenocarcinoma.,"Journal of molecular medicine (Berlin, Germany)",2026 Apr 6,10.1007/s00109-026-02669-7,PMC13053443,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13053443/
pmc_fulltext_alias_pan_cancer_signature,pmc,10,5620011,Identification of candidate genes associated with triple negative breast cancer.,Genes & cancer,2017 Jul,10.18632/genesandcancer.147,PMC5620011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5620011/
